PassengerId,Survived,Pclass,SibSp,Parch,Fare,Gender,EmbarkedMap,AgeFill,AgeIsNull,FamilySize,Age*Class
1,0,3,1,0,7.25,1,2.0,22.0,0,1,66.0
2,1,1,1,0,71.2833,0,0.0,38.0,0,1,38.0
3,1,3,0,0,7.925,0,2.0,26.0,0,0,78.0
4,1,1,1,0,53.1,0,2.0,35.0,0,1,35.0
5,0,3,0,0,8.05,1,2.0,35.0,0,0,105.0
6,0,3,0,0,8.4583,1,1.0,25.0,1,0,75.0
7,0,1,0,0,51.8625,1,2.0,54.0,0,0,54.0
8,0,3,3,1,21.075,1,2.0,2.0,0,4,6.0
9,1,3,0,2,11.1333,0,2.0,27.0,0,2,81.0
10,1,2,1,0,30.0708,0,0.0,14.0,0,1,28.0
11,1,3,1,1,16.7,0,2.0,4.0,0,2,12.0
12,1,1,0,0,26.55,0,2.0,58.0,0,0,58.0
13,0,3,0,0,8.05,1,2.0,20.0,0,0,60.0
14,0,3,1,5,31.275,1,2.0,39.0,0,6,117.0
15,0,3,0,0,7.8542,0,2.0,14.0,0,0,42.0
16,1,2,0,0,16.0,0,2.0,55.0,0,0,110.0
17,0,3,4,1,29.125,1,1.0,2.0,0,5,6.0
18,1,2,0,0,13.0,1,2.0,30.0,1,0,60.0
19,0,3,1,0,18.0,0,2.0,31.0,0,1,93.0
20,1,3,0,0,7.225,0,0.0,21.5,1,0,64.5
21,0,2,0,0,26.0,1,2.0,35.0,0,0,70.0
22,1,2,0,0,13.0,1,2.0,34.0,0,0,68.0
23,1,3,0,0,8.0292,0,1.0,15.0,0,0,45.0
24,1,1,0,0,35.5,1,2.0,28.0,0,0,28.0
25,0,3,3,1,21.075,0,2.0,8.0,0,4,24.0
26,1,3,1,5,31.3875,0,2.0,38.0,0,6,114.0
27,0,3,0,0,7.225,1,0.0,25.0,1,0,75.0
28,0,1,3,2,263.0,1,2.0,19.0,0,5,19.0
29,1,3,0,0,7.8792,0,1.0,21.5,1,0,64.5
30,0,3,0,0,7.8958,1,2.0,25.0,1,0,75.0
31,0,1,0,0,27.7208,1,0.0,40.0,0,0,40.0
32,1,1,1,0,146.5208,0,0.0,35.0,1,1,35.0
33,1,3,0,0,7.75,0,1.0,21.5,1,0,64.5
34,0,2,0,0,10.5,1,2.0,66.0,0,0,132.0
35,0,1,1,0,82.1708,1,0.0,28.0,0,1,28.0
36,0,1,1,0,52.0,1,2.0,42.0,0,1,42.0
37,1,3,0,0,7.2292,1,0.0,25.0,1,0,75.0
38,0,3,0,0,8.05,1,2.0,21.0,0,0,63.0
39,0,3,2,0,18.0,0,2.0,18.0,0,2,54.0
40,1,3,1,0,11.2417,0,0.0,14.0,0,1,42.0
41,0,3,1,0,9.475,0,2.0,40.0,0,1,120.0
42,0,2,1,0,21.0,0,2.0,27.0,0,1,54.0
43,0,3,0,0,7.8958,1,0.0,25.0,1,0,75.0
44,1,2,1,2,41.5792,0,0.0,3.0,0,3,6.0
45,1,3,0,0,7.8792,0,1.0,19.0,0,0,57.0
46,0,3,0,0,8.05,1,2.0,25.0,1,0,75.0
47,0,3,1,0,15.5,1,1.0,25.0,1,1,75.0
48,1,3,0,0,7.75,0,1.0,21.5,1,0,64.5
49,0,3,2,0,21.6792,1,0.0,25.0,1,2,75.0
50,0,3,1,0,17.8,0,2.0,18.0,0,1,54.0
51,0,3,4,1,39.6875,1,2.0,7.0,0,5,21.0
52,0,3,0,0,7.8,1,2.0,21.0,0,0,63.0
53,1,1,1,0,76.7292,0,0.0,49.0,0,1,49.0
54,1,2,1,0,26.0,0,2.0,29.0,0,1,58.0
55,0,1,0,1,61.9792,1,0.0,65.0,0,1,65.0
56,1,1,0,0,35.5,1,2.0,40.0,1,0,40.0
57,1,2,0,0,10.5,0,2.0,21.0,0,0,42.0
58,0,3,0,0,7.2292,1,0.0,28.5,0,0,85.5
59,1,2,1,2,27.75,0,2.0,5.0,0,3,10.0
60,0,3,5,2,46.9,1,2.0,11.0,0,7,33.0
61,0,3,0,0,7.2292,1,0.0,22.0,0,0,66.0
62,1,1,0,0,80.0,0,,38.0,0,0,38.0
63,0,1,1,0,83.475,1,2.0,45.0,0,1,45.0
64,0,3,3,2,27.9,1,2.0,4.0,0,5,12.0
65,0,1,0,0,27.7208,1,0.0,40.0,1,0,40.0
66,1,3,1,1,15.2458,1,0.0,25.0,1,2,75.0
67,1,2,0,0,10.5,0,2.0,29.0,0,0,58.0
68,0,3,0,0,8.1583,1,2.0,19.0,0,0,57.0
69,1,3,4,2,7.925,0,2.0,17.0,0,6,51.0
70,0,3,2,0,8.6625,1,2.0,26.0,0,2,78.0
71,0,2,0,0,10.5,1,2.0,32.0,0,0,64.0
72,0,3,5,2,46.9,0,2.0,16.0,0,7,48.0
73,0,2,0,0,73.5,1,2.0,21.0,0,0,42.0
74,0,3,1,0,14.4542,1,0.0,26.0,0,1,78.0
75,1,3,0,0,56.4958,1,2.0,32.0,0,0,96.0
76,0,3,0,0,7.65,1,2.0,25.0,0,0,75.0
77,0,3,0,0,7.8958,1,2.0,25.0,1,0,75.0
78,0,3,0,0,8.05,1,2.0,25.0,1,0,75.0
79,1,2,0,2,29.0,1,2.0,0.83,0,2,1.66
80,1,3,0,0,12.475,0,2.0,30.0,0,0,90.0
81,0,3,0,0,9.0,1,2.0,22.0,0,0,66.0
82,1,3,0,0,9.5,1,2.0,29.0,0,0,87.0
83,1,3,0,0,7.7875,0,1.0,21.5,1,0,64.5
84,0,1,0,0,47.1,1,2.0,28.0,0,0,28.0
85,1,2,0,0,10.5,0,2.0,17.0,0,0,34.0
86,1,3,3,0,15.85,0,2.0,33.0,0,3,99.0
